type,x,y,geom
Other Theft,484626,5460343,0101000020E61000000CFDE25788CD5EC04A74EB85D7A54840
Other Theft,484626,5460343,0101000020E61000000CFDE25788CD5EC04A74EB85D7A54840
Other Theft,484626,5460343,0101000020E61000000CFDE25788CD5EC04A74EB85D7A54840
Other Theft,484626,5460343,0101000020E61000000CFDE25788CD5EC04A74EB85D7A54840
Other Theft,484626,5460339,0101000020E61000006BBA3D5788CD5EC02E331858D6A54840
Other Theft,484626,5460326,0101000020E610000071A2245588CD5EC0BD9E2983D2A54840
Other Theft,484626,5460321,0101000020E61000009D0F565488CD5EC0AE8CE109D1A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460277,0101000020E6100000673C3C4D88CD5EC037B2CD11C4A54840
Other Theft,484626,5460241,0101000020E61000004AF46C4788CD5EC068516075B9A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460210,0101000020E6100000CA426C4288CD5EC019FD3A52B0A54840
Other Theft,484626,5460209,0101000020E6100000D2F2424288CD5EC0CE2BC606B0A54840
Other Theft,484626,5460209,0101000020E6100000D2F2424288CD5EC0CE2BC606B0A54840
Other Theft,484626,5460209,0101000020E6100000D2F2424288CD5EC0CE2BC606B0A54840
Other Theft,484626,5460204,0101000020E61000001563744188CD5EC038157E8DAEA54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460134,0101000020E61000008C94283688CD5EC095C48CEB99A54840
Other Theft,484626,5460117,0101000020E6100000B24C6A3388CD5EC080D3CAE894A54840
Other Theft,484626,5460117,0101000020E6100000B24C6A3388CD5EC080D3CAE894A54840
Other Theft,484626,5460117,0101000020E6100000B24C6A3388CD5EC080D3CAE894A54840
Other Theft,484626,5460105,0101000020E61000005D937A3188CD5EC0CDFA505F91A54840
Other Theft,484676,5460092,0101000020E6100000C7A035EB7CCD5EC047D0EB948DA54840
Other Theft,484710,5460092,0101000020E6100000EE03F94175CD5EC02E19119C8DA54840
Other Theft,484720,5460067,0101000020E6100000BAFD20FD72CD5EC0CFC5C13F86A54840
Other Theft,484749,5460058,0101000020E6100000C849E0726CCD5EC0C262BA9E83A54840
Other Theft,484749,5460057,0101000020E6100000384FB7726CCD5EC0BF8F455383A54840
Other Theft,484749,5460028,0101000020E610000055EF126E6CCD5EC028A509C77AA54840
Other Theft,484749,5460028,0101000020E610000055EF126E6CCD5EC028A509C77AA54840
Other Theft,484749,5460028,0101000020E610000055EF126E6CCD5EC028A509C77AA54840
Other Theft,484749,5460028,0101000020E610000055EF126E6CCD5EC028A509C77AA54840
Other Theft,484769,5460028,0101000020E6100000C5296BEC67CD5EC0A60839CB7AA54840
Other Theft,484774,5460028,0101000020E61000000D3801CC66CD5EC04AA944CC7AA54840
Other Theft,484775,5460028,0101000020E6100000176E529266CD5EC01E2D7ACC7AA54840
Other Theft,484775,5460028,0101000020E6100000176E529266CD5EC01E2D7ACC7AA54840
Other Theft,484779,5460028,0101000020E6100000334697AB65CD5EC06E3350CD7AA54840
Other Theft,484788,5460028,0101000020E6100000242C72A463CD5EC0018D31CF7AA54840
Other Theft,484789,5460028,0101000020E61000001D62C36A63CD5EC03D0467CF7AA54840
Other Theft,484789,5460028,0101000020E61000001D62C36A63CD5EC03D0467CF7AA54840
Other Theft,484800,5460028,0101000020E61000006AB340F060CD5EC066E8B2D17AA54840
Other Theft,484802,5460028,0101000020E6100000361FE37C60CD5EC05DC01DD27AA54840
Other Theft,484830,5460028,0101000020E61000004902C52D5ACD5EC00216F4D77AA54840
Other Theft,484865,5460028,0101000020E61000006558DF4A52CD5EC010213CDF7AA54840
Other Theft,484881,5460028,0101000020E6100000D5B0F2AF4ECD5EC042D48EE27AA54840
Other Theft,484885,5460028,0101000020E6100000BD8637C94DCD5EC0125D63E37AA54840
Other Theft,484889,5460028,0101000020E61000008E5C7CE24CCD5EC07CD737E47AA54840
Other Theft,484889,5460013,0101000020E61000008C551BE04CCD5EC0046D5F7876A54840
Other Theft,484890,5460013,0101000020E61000004D956CA64CCD5EC04E89947876A54840
Other Theft,484898,5460013,0101000020E61000003293F6D84ACD5EC0394B3D7A76A54840
Other Theft,484898,5460013,0101000020E61000003293F6D84ACD5EC0394B3D7A76A54840
Other Theft,484898,5460013,0101000020E61000003293F6D84ACD5EC0394B3D7A76A54840
Other Theft,484906,5460013,0101000020E6100000BF90800B49CD5EC08FD3E57B76A54840
Other Theft,484906,5460013,0101000020E6100000BF90800B49CD5EC08FD3E57B76A54840
Other Theft,484906,5460013,0101000020E6100000BF90800B49CD5EC08FD3E57B76A54840
Other Theft,484906,5460001,0101000020E610000019E5990949CD5EC0A8E26BF272A54840
Other Theft,484914,5459995,0101000020E6100000D4EF303B47CD5EC0EB37572F71A54840
Other Theft,484914,5459995,0101000020E6100000D4EF303B47CD5EC0EB37572F71A54840
Other Theft,484922,5459995,0101000020E6100000C44FBB6D45CD5EC0784CFF3071A54840
Other Theft,484930,5459995,0101000020E610000060AF45A043CD5EC06D27A73271A54840
Other Theft,484934,5459995,0101000020E61000000EDF8AB942CD5EC051FF7A3371A54840
Other Theft,484946,5459995,0101000020E6100000996D5A0540CD5EC09930F63571A54840
Other Theft,484954,5459995,0101000020E610000039CCE4373ECD5EC0D05E9D3771A54840
Other Theft,484969,5459995,0101000020E6100000BB3CA8D63ACD5EC03C3AB63A71A54840
Other Theft,484969,5459995,0101000020E6100000BB3CA8D63ACD5EC03C3AB63A71A54840
Other Theft,484989,5459994,0101000020E610000023D1D95436CD5EC05C4F61F370A54840
Other Theft,484989,5459994,0101000020E610000023D1D95436CD5EC05C4F61F370A54840
Other Theft,484990,5459994,0101000020E6100000721D2B1B36CD5EC0981196F370A54840
Other Theft,484990,5459994,0101000020E6100000721D2B1B36CD5EC0981196F370A54840
Other Theft,484990,5459994,0101000020E6100000721D2B1B36CD5EC0981196F370A54840
Other Theft,484993,5459994,0101000020E61000005A021F6E35CD5EC0E25234F470A54840
Other Theft,484993,5459994,0101000020E61000005A021F6E35CD5EC0E25234F470A54840
Other Theft,484995,5459994,0101000020E6100000ED9AC1FA34CD5EC040CF9DF470A54840
Other Theft,484995,5459994,0101000020E6100000ED9AC1FA34CD5EC040CF9DF470A54840
Other Theft,484995,5459994,0101000020E6100000ED9AC1FA34CD5EC040CF9DF470A54840
Other Theft,484995,5459994,0101000020E6100000ED9AC1FA34CD5EC040CF9DF470A54840
Other Theft,484995,5459994,0101000020E6100000ED9AC1FA34CD5EC040CF9DF470A54840
Other Theft,485003,5459994,0101000020E610000007FD4B2D33CD5EC0B69C43F670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459994,0101000020E61000007F95EEB932CD5EC01407ADF670A54840
Other Theft,485005,5459984,0101000020E610000054B05BB832CD5EC0B3B81C046EA54840
Other Theft,485005,5459979,0101000020E6100000F03D92B732CD5EC03A91D48A6CA54840
Other Theft,485005,5459971,0101000020E610000093ED4FB632CD5EC041EB2D2F6AA54840
Other Theft,485005,5459971,0101000020E610000093ED4FB632CD5EC041EB2D2F6AA54840
Other Theft,485005,5459971,0101000020E610000093ED4FB632CD5EC041EB2D2F6AA54840
Other Theft,485006,5459971,0101000020E6100000A049A17C32CD5EC0FE9E622F6AA54840
Other Theft,485012,5459971,0101000020E6100000CF71892231CD5EC086C29E306AA54840
Other Theft,485012,5459971,0101000020E6100000CF71892231CD5EC086C29E306AA54840
Other Theft,485012,5459971,0101000020E6100000CF71892231CD5EC086C29E306AA54840
Other Theft,485012,5459971,0101000020E6100000CF71892231CD5EC086C29E306AA54840
Other Theft,485020,5459971,0101000020E6100000C45114552FCD5EC0D41444326AA54840
Other Theft,485021,5459971,0101000020E6100000BCAD651B2FCD5EC012BB78326AA54840
Other Theft,485021,5459971,0101000020E6100000BCAD651B2FCD5EC012BB78326AA54840
Other Theft,485021,5459971,0101000020E6100000BCAD651B2FCD5EC012BB78326AA54840
Other Theft,485043,5459971,0101000020E6100000D09363262ACD5EC0B520FE366AA54840
Other Theft,485058,5459971,0101000020E610000013F527C526CD5EC06B49123A6AA54840
Other Theft,485070,5459971,0101000020E61000000D42F81024CD5EC09F3E883C6AA54840
Other Theft,485122,5459970,0101000020E6100000E4E2565918CD5EC05961B7FB69A54840
Other Theft,485124,5459970,0101000020E6100000289BF9E517CD5EC05FF51FFC69A54840
Other Theft,485133,5459970,0101000020E61000001CD8D5DE15CD5EC0EC62F6FD69A54840
Other Theft,485133,5459970,0101000020E61000001CD8D5DE15CD5EC0EC62F6FD69A54840
Other Theft,485190,5459970,0101000020E61000009150F30609CD5EC0F52693096AA54840
Other Theft,485190,5459967,0101000020E610000045F07B0609CD5EC039A6342769A54840
Other Theft,485193,5459950,0101000020E6100000BDB6CB5608CD5EC0F09A0E2564A54840
Other Theft,485206,5459950,0101000020E61000004112EE6805CD5EC028DDB22764A54840
Other Theft,485212,5459947,0101000020E61000005E585F0E04CD5EC0F4468C4663A54840
Other Theft,485212,5459946,0101000020E6100000D99C370E04CD5EC01D7117FB62A54840
Other Theft,485212,5459946,0101000020E6100000D99C370E04CD5EC01D7117FB62A54840
Other Theft,485212,5459946,0101000020E6100000D99C370E04CD5EC01D7117FB62A54840
Other Theft,485212,5459946,0101000020E6100000D99C370E04CD5EC01D7117FB62A54840
Other Theft,485212,5459946,0101000020E6100000D99C370E04CD5EC01D7117FB62A54840
Other Theft,485213,5459946,0101000020E6100000090989D403CD5EC07E6A4BFB62A54840
Other Theft,485220,5459946,0101000020E610000031FEC24002CD5EC0F722B7FC62A54840
Other Theft,485220,5459941,0101000020E61000002B70FC3F02CD5EC079F56E8361A54840
Other Theft,485229,5459940,0101000020E610000072ACB13800CD5EC09282CD3961A54840
Other Theft,485229,5459938,0101000020E6100000DE4C623800CD5EC0A1D6E3A260A54840
Other Theft,485229,5459938,0101000020E6100000DE4C623800CD5EC0A1D6E3A260A54840
Other Theft,485229,5459934,0101000020E6100000C28DC33700CD5EC0A77E10755FA54840
Other Theft,485229,5459934,0101000020E6100000C28DC33700CD5EC0A77E10755FA54840
Other Theft,485235,5459930,0101000020E61000004A990DDDFECC5EC0279574485EA54840
Other Theft,485250,5459923,0101000020E6100000E029BE7AFBCC5EC0DFC04C3B5CA54840
Other Theft,485256,5459923,0101000020E6100000AE10A720FACC5EC0EEBD833C5CA54840
Other Theft,485279,5459923,0101000020E6100000652EF9F1F4CC5EC046B12A415CA54840
Other Theft,485279,5459920,0101000020E6100000748682F1F4CC5EC0532ECC5E5BA54840
Other Theft,485324,5459918,0101000020E610000098BE86CDEACC5EC0FB3EF7D05AA54840
Other Theft,485324,5459905,0101000020E61000008B2486CBEACC5EC06D5908FC56A54840
Other Theft,485324,5459900,0101000020E610000037FDC0CAEACC5EC02A28C08255A54840
Other Theft,485399,5459900,0101000020E6100000A4BBA4E4D9CC5EC090E2D29155A54840
Other Theft,485432,5459900,0101000020E610000018A02775D2CC5EC05A766E9855A54840
Other Theft,485442,5459891,0101000020E61000006405F732D0CC5EC089BD52F352A54840
Other Theft,485442,5459891,0101000020E61000006405F732D0CC5EC089BD52F352A54840
Other Theft,485442,5459885,0101000020E61000002F570C32D0CC5EC006B2952E51A54840
Other Theft,485442,5459885,0101000020E61000002F570C32D0CC5EC006B2952E51A54840
Other Theft,485442,5459885,0101000020E61000002F570C32D0CC5EC006B2952E51A54840
Other Theft,485443,5459885,0101000020E61000002BEC5DF8CFCC5EC033DCC82E51A54840
Other Theft,485448,5459884,0101000020E61000001DBCCED7CECC5EC053CA53E450A54840
Other Theft,485453,5459881,0101000020E6100000F467F1B6CDCC5EC036F3F40250A54840
Other Theft,485453,5459881,0101000020E6100000F467F1B6CDCC5EC036F3F40250A54840
Other Theft,485455,5459881,0101000020E61000004D979443CDCC5EC0DA325B0350A54840
Other Theft,485455,5459881,0101000020E61000004D979443CDCC5EC0DA325B0350A54840
Other Theft,485455,5459881,0101000020E61000004D979443CDCC5EC0DA325B0350A54840
Other Theft,485466,5459876,0101000020E6100000FFDC52C8CACC5EC06A1B458C4EA54840
Other Theft,485466,5459853,0101000020E61000008FBFD0C4CACC5EC021BEC5C447A54840
Other Theft,485473,5459853,0101000020E6100000916B0C31C9CC5EC0703A2BC647A54840
Other Theft,485473,5459853,0101000020E6100000916B0C31C9CC5EC0703A2BC647A54840
Other Theft,485473,5459848,0101000020E6100000EF454930C9CC5EC01404E34C46A54840
Other Theft,485473,5459848,0101000020E6100000EF454930C9CC5EC01404E34C46A54840
Other Theft,485473,5459832,0101000020E61000005BCED82DC9CC5EC00888959541A54840
Other Theft,485473,5459832,0101000020E61000005BCED82DC9CC5EC00888959541A54840
Other Theft,485516,5459832,0101000020E6100000EEE8927DBFCC5EC0BCB8259E41A54840
Other Theft,485520,5459832,0101000020E61000002CCDD996BECC5EC0E050F19E41A54840
Other Theft,485623,5459832,0101000020E6100000F626BB61A7CC5EC09C8058B341A54840
Other Theft,485646,5459832,0101000020E610000010BA1233A2CC5EC09CC0E1B741A54840
Other Theft,485646,5459832,0101000020E610000010BA1233A2CC5EC09CC0E1B741A54840
Other Theft,485646,5459832,0101000020E610000010BA1233A2CC5EC09CC0E1B741A54840
Other Theft,485652,5459832,0101000020E6100000890CFDD8A0CC5EC0A36110B941A54840
Other Theft,485652,5459832,0101000020E6100000890CFDD8A0CC5EC0A36110B941A54840
Other Theft,485652,5459832,0101000020E6100000890CFDD8A0CC5EC0A36110B941A54840
Other Theft,485669,5459829,0101000020E6100000B0C8F6039DCC5EC0C49A0ADA40A54840
Other Theft,485669,5459829,0101000020E6100000B0C8F6039DCC5EC0C49A0ADA40A54840
Other Theft,485684,5459819,0101000020E6100000071540A199CC5EC09E426DEA3DA54840
Other Theft,485684,5459819,0101000020E6100000071540A199CC5EC09E426DEA3DA54840
Other Theft,485684,5459803,0101000020E6100000A5B1D89E99CC5EC026B51F3339A54840
Other Theft,485684,5459803,0101000020E6100000A5B1D89E99CC5EC026B51F3339A54840
Other Theft,485777,5459801,0101000020E61000002A5D43AA84CC5EC01F146EAE38A54840
Other Theft,485777,5459801,0101000020E61000002A5D43AA84CC5EC01F146EAE38A54840
Other Theft,485862,5459801,0101000020E61000006F656C8371CC5EC0CD58FABE38A54840
Other Theft,485869,5459789,0101000020E6100000606BE1ED6FCC5EC00CE1DB3635A54840
Other Theft,485891,5459789,0101000020E610000038B6E9F86ACC5EC09EA41F3B35A54840
Other Theft,485891,5459789,0101000020E610000038B6E9F86ACC5EC09EA41F3B35A54840
Other Theft,485891,5459786,0101000020E610000007FF77F86ACC5EC00917C15834A54840
Other Theft,485891,5459786,0101000020E610000007FF77F86ACC5EC00917C15834A54840
Other Theft,485891,5459786,0101000020E610000007FF77F86ACC5EC00917C15834A54840
Other Theft,485891,5459786,0101000020E610000007FF77F86ACC5EC00917C15834A54840
Other Theft,485894,5459786,0101000020E61000009B836D4B6ACC5EC0C1D5555934A54840
Other Theft,485894,5459786,0101000020E61000009B836D4B6ACC5EC0C1D5555934A54840
Other Theft,485894,5459786,0101000020E61000009B836D4B6ACC5EC0C1D5555934A54840
Other Theft,485894,5459786,0101000020E61000009B836D4B6ACC5EC0C1D5555934A54840
Other Theft,485894,5459786,0101000020E61000009B836D4B6ACC5EC0C1D5555934A54840
Other Theft,485895,5459774,0101000020E6100000229FF80F6ACC5EC0A9310DD030A54840
Other Theft,485895,5459774,0101000020E6100000229FF80F6ACC5EC0A9310DD030A54840
Other Theft,485895,5459768,0101000020E6100000BA41150F6ACC5EC0A715500B2FA54840
Other Theft,485897,5459768,0101000020E61000002D08B99B69CC5EC00439B30B2FA54840
Other Theft,485897,5459768,0101000020E61000002D08B99B69CC5EC00439B30B2FA54840
Other Theft,485897,5459768,0101000020E61000002D08B99B69CC5EC00439B30B2FA54840
Other Theft,485900,5459768,0101000020E6100000CDB1AEEE68CC5EC051E7470C2FA54840
Other Theft,485900,5459768,0101000020E6100000CDB1AEEE68CC5EC051E7470C2FA54840
Other Theft,485900,5459768,0101000020E6100000CDB1AEEE68CC5EC051E7470C2FA54840
Other Theft,485903,5459768,0101000020E6100000635BA44168CC5EC0858DDC0C2FA54840
Other Theft,485903,5459768,0101000020E6100000635BA44168CC5EC0858DDC0C2FA54840
Other Theft,485905,5459768,0101000020E6100000C02148CE67CC5EC07DA23F0D2FA54840
Other Theft,485908,5459767,0101000020E610000054EF172167CC5EC01C615FC22EA54840
Other Theft,485927,5459767,0101000020E6100000A0D72BD962CC5EC07BC10BC62EA54840
Other Theft,485929,5459766,0101000020E6100000A4D1A96562CC5EC015D1F97A2EA54840
Other Theft,485986,5459766,0101000020E6100000C3A6E58D55CC5EC09EEEF6852EA54840
Other Theft,485999,5459766,0101000020E6100000793C0EA052CC5EC0B3EB76882EA54840
Other Theft,486005,5459766,0101000020E6100000FE94F94551CC5EC089199E892EA54840
Other Theft,486053,5459766,0101000020E6100000E852547546CC5EC02FFAD2922EA54840
Other Theft,486096,5459766,0101000020E6100000AE9315C53CCC5EC07C780B9B2EA54840
Other Theft,486096,5459766,0101000020E6100000AE9315C53CCC5EC07C780B9B2EA54840
Other Theft,486096,5459766,0101000020E6100000AE9315C53CCC5EC07C780B9B2EA54840
Other Theft,486096,5459766,0101000020E6100000AE9315C53CCC5EC07C780B9B2EA54840
Other Theft,486100,5459763,0101000020E61000008B1AEDDD3BCC5EC09D5770B92DA54840
Other Theft,486101,5459759,0101000020E610000084A3A9A33BCC5EC0B1C5CD8B2CA54840
Other Theft,486106,5459755,0101000020E6100000B7DEAD823ACC5EC0AE8CEE5E2BA54840
Other Theft,486106,5459755,0101000020E6100000B7DEAD823ACC5EC0AE8CEE5E2BA54840
Other Theft,486109,5459755,0101000020E610000028A0A3D539CC5EC0B606815F2BA54840
Other Theft,486112,5459755,0101000020E61000008D61992839CC5EC0A47813602BA54840
Other Theft,486115,5459755,0101000020E6100000E9228F7B38CC5EC07AE2A5602BA54840
Other Theft,486117,5459755,0101000020E61000001DF9320838CC5EC0DE7907612BA54840
Other Theft,486117,5459754,0101000020E6100000FAAC0D0838CC5EC0DB9E92152BA54840
Other Theft,486117,5459751,0101000020E610000095C89D0738CC5EC0C60D34332AA54840
Other Theft,486129,5459751,0101000020E610000078EE745335CC5EC05A4E7D352AA54840
Other Theft,486129,5459751,0101000020E610000078EE745335CC5EC05A4E7D352AA54840
Other Theft,486129,5459748,0101000020E6100000DE22055335CC5EC00FBD1E5329A54840
Other Theft,486130,5459748,0101000020E6100000BA12571935CC5EC0957C4F5329A54840
Other Theft,486130,5459748,0101000020E6100000BA12571935CC5EC0957C4F5329A54840
Other Theft,486130,5459748,0101000020E6100000BA12571935CC5EC0957C4F5329A54840
Other Theft,486195,5459748,0101000020E61000002BEF247426CC5EC0A493A85F29A54840
Other Theft,486216,5459748,0101000020E61000009094DDB821CC5EC0ABADA26329A54840
Other Theft,486218,5459748,0101000020E61000007373814521CC5EC0438F036429A54840
Other Theft,486240,5459748,0101000020E6100000E4058C501CCC5EC04A532C6829A54840
Other Theft,486279,5459748,0101000020E61000004278078713CC5EC025AF876F29A54840
Other Theft,486286,5459748,0101000020E61000002C0245F311CC5EC03628D97029A54840
